iTemp,eTemp,X,Y,Z,pressure,time,GPS coord,GPS coord,Alt,Pressure-Temperature,Packets Recieved
22.6328125,22.984375,-77.836,105.652,980.3919999999999,848.66,0.0,0.0,0.0,0.0,23.11,1.0,2.0
22.6953125,23.015625,-78.141,100.711,982.771,848.68,0.0,0.0,0.0,0.0,23.12,2.0,3.0
22.6796875,22.984375,-75.457,106.872,982.771,848.73,0.0,0.0,0.0,0.0,23.15,3.0,4.0
22.6953125,23.0546875,-77.348,98.698,982.5269999999999,848.75,0.0,0.0,0.0,0.0,23.16,4.0,5.0
22.6953125,23.0625,-78.69,105.957,982.405,848.66,155244.0,0.0,0.0,0.0,23.16,5.0,6.0
22.71875,23.0625,-78.812,100.77199999999999,976.8539999999999,848.76,155248.0,0.0,0.0,0.0,23.17,6.0,7.0
22.6875,23.0703125,-78.446,105.347,987.102,848.77,155247.0,0.0,0.0,0.0,23.17,7.0,8.0
22.734375,23.1015625,-79.788,103.7,980.941,848.67,155250.0,0.0,0.0,0.0,23.17,9.0,9.0
22.7109375,23.1015625,-62.647,106.81099999999999,980.453,848.68,155250.0,0.0,0.0,0.0,23.18,10.0,10.0
22.7578125,23.1015625,-76.006,99.369,984.906,848.68,155250.0,0.0,0.0,0.0,23.18,11.0,11.0
22.7578125,23.1171875,-74.115,105.713,979.477,848.69,155253.0,0.0,0.0,0.0,23.18,12.0,12.0
22.7578125,23.1328125,-78.751,101.50399999999999,978.074,848.7,155253.0,0.0,0.0,0.0,23.19,13.0,13.0
22.75,23.140625,-77.348,109.617,974.597,848.71,155253.0,0.0,0.0,0.0,23.19,14.0,14.0
22.765625,23.140625,-79.239,101.87,982.588,848.72,155256.0,0.0,0.0,0.0,23.2,15.0,15.0
22.765625,23.15625,-79.422,106.14,983.5029999999999,848.72,155256.0,0.0,0.0,0.0,23.2,16.0,16.0
22.78125,23.140625,-78.08,100.101,982.7099999999999,848.73,155259.0,0.0,0.0,0.0,23.21,17.0,17.0
22.796875,23.171875,-78.385,109.556,980.331,848.64,155259.0,0.0,0.0,0.0,23.21,18.0,18.0
22.796875,23.171875,-74.542,99.064,978.745,848.65,155302.0,0.0,0.0,0.0,23.22,20.0,19.0
22.8125,23.1796875,-77.104,100.345,981.246,848.76,155302.0,0.0,0.0,0.0,23.22,21.0,20.0
22.8046875,23.1875,-80.032,105.164,981.795,848.77,155302.0,0.0,0.0,0.0,23.23,22.0,21.0
22.8515625,23.2109375,-77.77499999999999,100.89399999999999,982.771,848.69,155305.0,0.0,0.0,0.0,23.24,23.0,22.0
22.8359375,23.1953125,-77.40899999999999,107.90899999999999,983.137,848.7,155305.0,0.0,0.0,0.0,23.25,24.0,23.0
22.84375,23.1953125,-79.605,101.87,979.66,848.71,155305.0,0.0,0.0,0.0,23.25,25.0,24.0
22.8828125,23.234375,-79.666,105.591,982.893,848.62,155309.0,0.0,0.0,0.0,23.26,26.0,25.0
22.84375,23.203125,-77.592,101.565,979.4159999999999,848.74,155309.0,0.0,0.0,0.0,23.27,27.0,26.0
22.8046875,23.203125,-78.385,104.615,981.978,848.74,155309.0,0.0,0.0,0.0,23.27,28.0,27.0
