iTemp,eTemp,X,Y,Z,pressure,time,GPS coord,GPS coord,Alt
15.6875,13.4375,161.406,99.369,948.611,744.04,231726.0,45.91876466666667,-111.07662683333334,1703.0,14.46
15.546875,13.390625,149.023,103.761,981.978,744.04,231729.0,45.918765,-111.07662800000001,1703.0,14.4
15.5,13.4375,147.19299999999998,96.868,981.978,744.26,231730.0,45.9187655,-111.07662966666668,1703.0,14.35
15.4765625,13.5234375,143.838,104.92,977.6469999999999,744.39,231731.0,45.9187655,-111.07662966666668,1703.0,14.31
15.46875,13.4765625,151.768,99.18599999999999,988.139,745.47,231733.0,45.91876516666666,-111.07662800000001,1702.0,14.32
15.4296875,13.5,166.286,103.7,991.006,744.24,231735.0,45.918764499999995,-111.07662149999999,1701.0,14.27
15.640625,13.6328125,142.557,103.883,984.2959999999999,744.57,231737.0,45.9187625,-111.07661799999998,1700.0,14.3
15.578125,13.5859375,150.426,102.48,969.656,744.75,231739.0,45.91875716666667,-111.07662333333333,1699.0,14.35
15.5,13.3984375,177.388,96.38,971.486,745.1,231741.0,45.91875499999999,-111.07662233333335,1700.0,14.39
15.5,13.375,145.24099999999999,101.809,975.6949999999999,745.22,231743.0,45.918755666666655,-111.0766225,1700.0,14.35
15.4921875,13.265625,141.52,104.249,973.255,745.35,231745.0,45.91875733333333,-111.07662516666666,1700.0,14.3
15.4296875,13.25,151.28,98.576,977.037,745.76,231747.0,45.91875716666667,-111.07662800000001,1700.0,14.26
15.40625,13.2265625,143.716,100.589,947.452,745.98,231750.0,45.91875716666667,-111.07662800000001,1700.0,14.28
15.5390625,13.234375,149.023,99.979,985.821,745.94,231750.0,45.91876083333334,-111.07662783333333,1700.0,14.31
15.4140625,13.453125,156.648,100.223,966.1179999999999,745.76,231752.0,45.918760000000006,-111.07662583333332,1700.0,14.32
15.4296875,13.2734375,158.722,99.30799999999999,998.692,745.4,231754.0,45.918763000000006,-111.07662383333333,1700.0,14.34
15.3984375,13.3203125,153.84199999999998,100.16199999999999,957.578,745.34,231756.0,45.918768833333324,-111.07662149999999,1699.0,14.3
15.453125,13.3671875,152.683,98.271,978.196,745.41,231758.0,45.918772833333335,-111.07661683333332,1699.0,14.34
15.4296875,13.4296875,155.489,101.931,981.246,745.46,231800.0,45.91877266666666,-111.07661466666666,1699.0,14.31
15.6328125,13.4140625,149.511,103.578,975.573,745.6,231802.0,45.91877116666666,-111.07660949999999,1700.0,14.28
15.53125,13.453125,152.5,94.245,951.2339999999999,745.7,231804.0,45.91876833333334,-111.07660916666669,1699.0,14.21
15.3515625,13.6015625,152.012,101.931,950.807,745.9,231807.0,45.918760666666664,-111.07660916666669,1699.0,14.15
15.296875,13.390625,150.121,103.578,995.703,745.81,231807.0,45.918760666666664,-111.07660516666668,1699.0,14.16
15.3125,13.4296875,115.28999999999999,98.881,964.227,746.06,231809.0,45.918758499999996,-111.07660166666668,1699.0,14.14
15.3046875,13.46875,128.71,99.55199999999999,990.03,746.06,231811.0,45.918757666666664,-111.07660233333333,1699.0,14.14
15.265625,13.4453125,145.72899999999998,103.029,969.656,746.0,231813.0,45.91875666666667,-111.07660349999999,1699.0,14.1
15.421875,13.4453125,151.28,104.981,978.562,746.12,231815.0,45.918756833333326,-111.0766045,1699.0,14.11
